Time,calib,upstream,downstream
5858.15,0.601794,0.064622,-0.150958
5858.16,0.601794,0.110521,-0.122638
5858.17,0.599841,0.160325,-0.093341
5858.18,0.600818,0.204271,-0.061114
5858.19,0.601794,0.24431,-0.029864
5858.2,0.601794,0.279466,0.003339
5858.21,0.601794,0.309739,0.033612
5858.22,0.602771,0.331224,0.068769
5858.23,0.602771,0.347825,0.100019
5858.24,0.601794,0.361497,0.130292
5858.25,0.600818,0.36638,0.160565
5858.26,0.601794,0.365404,0.192792
5858.27,0.601794,0.359544,0.219159
5858.28,0.600818,0.334154,0.24455
5858.29,0.600818,0.308763,0.267011
5858.3,0.599841,0.294114,0.290448
5858.31,0.600818,0.2697,0.305097
5858.32,0.601794,0.249193,0.322675
5858.33,0.602771,0.223802,0.328534
5858.34,0.599841,0.197435,0.333417
5858.35,0.600818,0.167161,0.326581
5858.36,0.601794,0.134935,0.313886
5858.37,0.602771,0.098802,0.297284
5858.38,0.601794,0.059739,0.274823
5858.39,0.601794,0.023607,0.246503
5858.4,0.601794,-0.013503,0.202558
5858.41,0.600818,-0.025222,0.161542
5858.42,0.600818,-0.064284,0.142987
5858.43,0.599841,-0.118972,0.103925
5858.44,0.600818,-0.189284,0.067792
5858.45,0.600818,-0.222487,0.030683
5858.46,0.601794,-0.249831,-0.004474
5858.47,0.601794,-0.252761,-0.037677
5858.48,0.600818,-0.270339,-0.066974
5858.49,0.600818,-0.283034,-0.094317
5858.5,0.602771,-0.285964,-0.119708
5858.51,0.603748,-0.287917,-0.144122
5858.52,0.600818,-0.280104,-0.165606
5858.53,0.601794,-0.273268,-0.185138
5858.54,0.602771,-0.259596,-0.203692
5858.55,0.600818,-0.245925,-0.220294
5858.56,0.600818,-0.226393,-0.232989
